Sample,Method,Confidence_categories,Total_pergroup,Rate
0005,12S - Barque - VSEARCH - Non-curated,Confidence score<br>below threhold,6,4.7244094488189
0005,12S - DADA2 - RDP - Curated,Confidence score<br>above threhold,127,3.99874055415617
0005,12S - DADA2 - RDP - Curated,Confidence score<br>below threhold,3049,96.0012594458438
0005,12S - DADA2 - RDP - Non-curated,Confidence score<br>above threhold,99,3.11712846347607
0005,12S - DADA2 - RDP - Non-curated,Confidence score<br>below threhold,3077,96.8828715365239
0005,COI - Barque - VSEARCH - Curated,Confidence score<br>above threhold,4,80
0005,COI - Barque - VSEARCH - Curated,Confidence score<br>below threhold,1,20
0005,COI - Barque - VSEARCH - Non-curated,Confidence score<br>above threhold,8,100
0005,COI - DADA2 - RDP - Curated,Confidence score<br>above threhold,73,9.25221799746515
0005,COI - DADA2 - RDP - Curated,Confidence score<br>below threhold,716,90.7477820025348
0005,COI - DADA2 - RDP - Non-curated,Confidence score<br>above threhold,77,9.73451327433628
0005,COI - DADA2 - RDP - Non-curated,Confidence score<br>below threhold,714,90.2654867256637
0006,12S - Barque - VSEARCH - Curated,Confidence score<br>above threhold,112,94.1176470588235
0006,12S - Barque - VSEARCH - Curated,Confidence score<br>below threhold,7,5.88235294117647
0006,12S - Barque - VSEARCH - Non-curated,Confidence score<br>above threhold,113,94.9579831932773
0006,12S - Barque - VSEARCH - Non-curated,Confidence score<br>below threhold,6,5.04201680672269
0006,12S - DADA2 - RDP - Curated,Confidence score<br>above threhold,127,3.99874055415617
0006,12S - DADA2 - RDP - Curated,Confidence score<br>below threhold,3049,96.0012594458438
0006,12S - DADA2 - RDP - Non-curated,Confidence score<br>above threhold,99,3.11712846347607
0006,12S - DADA2 - RDP - Non-curated,Confidence score<br>below threhold,3077,96.8828715365239
0006,COI - Barque - VSEARCH - Curated,Confidence score<br>above threhold,1,50
0006,COI - Barque - VSEARCH - Curated,Confidence score<br>below threhold,1,50
0006,COI - Barque - VSEARCH - Non-curated,Confidence score<br>above threhold,3,100
0006,COI - DADA2 - RDP - Curated,Confidence score<br>above threhold,73,9.25221799746515
0006,COI - DADA2 - RDP - Curated,Confidence score<br>below threhold,716,90.7477820025348
0006,COI - DADA2 - RDP - Non-curated,Confidence score<br>above threhold,77,9.73451327433628
0006,COI - DADA2 - RDP - Non-curated,Confidence score<br>below threhold,714,90.2654867256637
0007,12S - Barque - VSEARCH - Curated,Confidence score<br>above threhold,79,97.5308641975309
0007,12S - Barque - VSEARCH - Curated,Confidence score<br>below threhold,2,2.46913580246914
0007,12S - Barque - VSEARCH - Non-curated,Confidence score<br>above threhold,78,97.5
0007,12S - Barque - VSEARCH - Non-curated,Confidence score<br>below threhold,2,2.5
0007,12S - DADA2 - RDP - Curated,Confidence score<br>above threhold,127,3.99874055415617
0007,12S - DADA2 - RDP - Curated,Confidence score<br>below threhold,3049,96.0012594458438
0007,12S - DADA2 - RDP - Non-curated,Confidence score<br>above threhold,99,3.11712846347607
0007,12S - DADA2 - RDP - Non-curated,Confidence score<br>below threhold,3077,96.8828715365239
0007,COI - Barque - VSEARCH - Curated,Confidence score<br>above threhold,4,80
0007,COI - Barque - VSEARCH - Curated,Confidence score<br>below threhold,1,20
0007,COI - Barque - VSEARCH - Non-curated,Confidence score<br>above threhold,5,100
0007,COI - DADA2 - RDP - Curated,Confidence score<br>above threhold,73,9.25221799746515
0007,COI - DADA2 - RDP - Curated,Confidence score<br>below threhold,716,90.7477820025348
0007,COI - DADA2 - RDP - Non-curated,Confidence score<br>above threhold,77,9.73451327433628
0007,COI - DADA2 - RDP - Non-curated,Confidence score<br>below threhold,714,90.2654867256637
0008,12S - Barque - VSEARCH - Curated,Confidence score<br>above threhold,216,92.7038626609442
0008,12S - Barque - VSEARCH - Curated,Confidence score<br>below threhold,17,7.29613733905579
0008,12S - Barque - VSEARCH - Non-curated,Confidence score<br>above threhold,229,98.2832618025751
0008,12S - Barque - VSEARCH - Non-curated,Confidence score<br>below threhold,4,1.71673819742489
0008,12S - DADA2 - RDP - Curated,Confidence score<br>above threhold,127,3.99874055415617
0008,12S - DADA2 - RDP - Curated,Confidence score<br>below threhold,3049,96.0012594458438
0008,12S - DADA2 - RDP - Non-curated,Confidence score<br>above threhold,99,3.11712846347607
0008,12S - DADA2 - RDP - Non-curated,Confidence score<br>below threhold,3077,96.8828715365239
0008,COI - Barque - VSEARCH - Curated,Confidence score<br>above threhold,2,66.6666666666667
0008,COI - Barque - VSEARCH - Curated,Confidence score<br>below threhold,1,33.3333333333333
0008,COI - Barque - VSEARCH - Non-curated,Confidence score<br>above threhold,3,100
0008,COI - DADA2 - RDP - Curated,Confidence score<br>above threhold,73,9.25221799746515
0008,COI - DADA2 - RDP - Curated,Confidence score<br>below threhold,716,90.7477820025348
0008,COI - DADA2 - RDP - Non-curated,Confidence score<br>above threhold,77,9.73451327433628
0008,COI - DADA2 - RDP - Non-curated,Confidence score<br>below threhold,714,90.2654867256637
0009,12S - Barque - VSEARCH - Curated,Confidence score<br>above threhold,234,97.907949790795
0009,12S - Barque - VSEARCH - Curated,Confidence score<br>below threhold,5,2.09205020920502
0009,12S - Barque - VSEARCH - Non-curated,Confidence score<br>above threhold,232,97.8902953586498
0009,12S - Barque - VSEARCH - Non-curated,Confidence score<br>below threhold,5,2.10970464135021
0009,12S - DADA2 - RDP - Curated,Confidence score<br>above threhold,127,3.99874055415617
0009,12S - DADA2 - RDP - Curated,Confidence score<br>below threhold,3049,96.0012594458438
0009,12S - DADA2 - RDP - Non-curated,Confidence score<br>above threhold,99,3.11712846347607
0009,12S - DADA2 - RDP - Non-curated,Confidence score<br>below threhold,3077,96.8828715365239
0009,COI - Barque - VSEARCH - Curated,Confidence score<br>above threhold,6,85.7142857142857
0009,COI - Barque - VSEARCH - Curated,Confidence score<br>below threhold,1,14.2857142857143
0009,COI - Barque - VSEARCH - Non-curated,Confidence score<br>above threhold,7,100
0009,COI - DADA2 - RDP - Curated,Confidence score<br>above threhold,73,9.25221799746515
0009,COI - DADA2 - RDP - Curated,Confidence score<br>below threhold,716,90.7477820025348
0009,COI - DADA2 - RDP - Non-curated,Confidence score<br>above threhold,77,9.73451327433628
0009,COI - DADA2 - RDP - Non-curated,Confidence score<br>below threhold,714,90.2654867256637
0010,12S - Barque - VSEARCH - Curated,Confidence score<br>above threhold,186,96.3730569948187
0010,12S - Barque - VSEARCH - Curated,Confidence score<br>below threhold,7,3.62694300518135
0010,12S - Barque - VSEARCH - Non-curated,Confidence score<br>above threhold,188,96.9072164948454
0010,12S - Barque - VSEARCH - Non-curated,Confidence score<br>below threhold,6,3.09278350515464
0010,12S - DADA2 - RDP - Curated,Confidence score<br>above threhold,127,3.99874055415617
0010,12S - DADA2 - RDP - Curated,Confidence score<br>below threhold,3049,96.0012594458438
0010,12S - DADA2 - RDP - Non-curated,Confidence score<br>above threhold,99,3.11712846347607
0010,12S - DADA2 - RDP - Non-curated,Confidence score<br>below threhold,3077,96.8828715365239
0010,COI - Barque - VSEARCH - Curated,Confidence score<br>above threhold,5,83.3333333333333
0010,COI - Barque - VSEARCH - Curated,Confidence score<br>below threhold,1,16.6666666666667
0010,COI - Barque - VSEARCH - Non-curated,Confidence score<br>above threhold,6,100
0010,COI - DADA2 - RDP - Curated,Confidence score<br>above threhold,73,9.25221799746515
0010,COI - DADA2 - RDP - Curated,Confidence score<br>below threhold,716,90.7477820025348
0010,COI - DADA2 - RDP - Non-curated,Confidence score<br>above threhold,77,9.73451327433628
0010,COI - DADA2 - RDP - Non-curated,Confidence score<br>below threhold,714,90.2654867256637
0011,12S - Barque - VSEARCH - Curated,Confidence score<br>above threhold,176,97.2375690607735
0011,12S - Barque - VSEARCH - Curated,Confidence score<br>below threhold,5,2.76243093922652
0011,12S - Barque - VSEARCH - Non-curated,Confidence score<br>above threhold,178,97.8021978021978
0011,12S - Barque - VSEARCH - Non-curated,Confidence score<br>below threhold,4,2.1978021978022
0011,12S - DADA2 - RDP - Curated,Confidence score<br>above threhold,127,3.99874055415617
0011,12S - DADA2 - RDP - Curated,Confidence score<br>below threhold,3049,96.0012594458438
0011,12S - DADA2 - RDP - Non-curated,Confidence score<br>above threhold,99,3.11712846347607
0011,12S - DADA2 - RDP - Non-curated,Confidence score<br>below threhold,3077,96.8828715365239
0011,COI - Barque - VSEARCH - Curated,Confidence score<br>above threhold,2,66.6666666666667
0011,COI - Barque - VSEARCH - Curated,Confidence score<br>below threhold,1,33.3333333333333
0011,COI - Barque - VSEARCH - Non-curated,Confidence score<br>above threhold,3,100
0011,COI - DADA2 - RDP - Curated,Confidence score<br>above threhold,73,9.25221799746515
0011,COI - DADA2 - RDP - Curated,Confidence score<br>below threhold,716,90.7477820025348
0011,COI - DADA2 - RDP - Non-curated,Confidence score<br>above threhold,77,9.73451327433628
0011,COI - DADA2 - RDP - Non-curated,Confidence score<br>below threhold,714,90.2654867256637
0012,12S - Barque - VSEARCH - Curated,Confidence score<br>above threhold,74,96.1038961038961
0012,12S - Barque - VSEARCH - Curated,Confidence score<br>below threhold,3,3.8961038961039
0012,12S - Barque - VSEARCH - Non-curated,Confidence score<br>above threhold,74,96.1038961038961
0012,12S - Barque - VSEARCH - Non-curated,Confidence score<br>below threhold,3,3.8961038961039
0012,12S - DADA2 - RDP - Curated,Confidence score<br>above threhold,127,3.99874055415617
0012,12S - DADA2 - RDP - Curated,Confidence score<br>below threhold,3049,96.0012594458438
