Order,Family,Species,Occurrence,Common name,Nom commun
Cypriniformes,Leuciscidae,Margariscus margarita,native ,Allegheny pearl dace,
Cichliformes,Cichlidae ,Hemichromis bimaculatus,introduced ,Jewelfish ,
