Acanthuridae
Acestrorhynchidae
Achiridae
Acipenseridae
Acropomatidae
Adrianichthyidae
Agonidae
Akysidae
Albulidae
Alepisauridae
Alepocephalidae
Alestidae
Amarsipidae
Ambassidae
Amblycipitidae
Amblyopsidae
Amiidae
Ammodytidae
Amphiliidae
Anabantidae
Anablepidae
Anarhichadidae
Anchariidae
Anguillidae
Anomalopidae
Anoplogastridae
Anoplopomatidae
Anostomidae
Antennariidae
Aphredoderidae
Aphyonidae
Apistidae
Aploactinidae
Aplocheilidae
Aplodactylidae
Apogonidae
Apteronotidae
Aracanidae
Argentinidae
Ariidae
Ariommatidae
Arripidae
Artedidraconidae
Aspredinidae
Astroblepidae
Ateleopodidae
Atherinidae
Atherinopsidae
Auchenipteridae
Aulopidae
Aulorhynchidae
Aulostomidae
Austroglanididae
Badidae
Bagridae
Balistidae
Balitoridae
Banjosidae
Barbourisiidae
Barbuccidae
Bathyclupeidae
Bathydraconidae
Bathylagidae
Bathymasteridae
Bathysauridae
Bathysauroididae
Bathysauropsidae
Batrachoididae
Bedotiidae
Belonidae
Bembridae
Bembropidae
Berycidae
Blenniidae
Bothidae
Botiidae
Bovichtidae
Brachionichthyidae
Bramidae
Bregmacerotidae
Bryconidae
Bythitidae
Callanthiidae
Callichthyidae
Callionymidae
Caproidae
Carangidae
Carapidae
Caristiidae
Catostomidae
Caulophrynidae
Centracanthidae
Centrarchidae
Centriscidae
Centrogenyidae
Centrolophidae
Centrophrynidae
Centropomidae
Cepolidae
Ceratiidae
Cetomimidae
Cetopsidae
Chacidae
Chaenopsidae
Chaetodontidae
Chalceidae
Champsodontidae
Chanidae
Channichthyidae
Channidae
Characidae
Chaudhuriidae
Chaunacidae
Cheilodactylidae
Cheimarrichthyidae
Chiasmodontidae
Chilodontidae
Chirocentridae
Chironemidae
Chlopsidae
Chlorophthalmidae
Cichlidae
Cirrhitidae
Citharidae
Citharinidae
Clariidae
Claroteidae
Clinidae
Clupeidae
Cobitidae
Colocongridae
Congiopodidae
Congridae
Congrogadidae
Coryphaenidae
Cottidae
Cranoglanididae
Creediidae
Crenuchidae
Cryptacanthodidae
Ctenoluciidae
Curimatidae
Cyclopteridae
Cyematidae
Cynodontidae
Cynoglossidae
Cyprinidae
Cyprinodontidae
Cyttidae
Dactylopteridae
Dactyloscopidae
Datnioididae
Dentatherinidae
Denticipitidae
Derichthyidae
Diceratiidae
Dichistiidae
Dinolestidae
Dinopercidae
Diodontidae
Diplomystidae
Diplophidae
Diretmidae
Distichodontidae
Doradidae
Draconettidae
Drepaneidae
Dussumieriidae
Echeneidae
Elassomatidae
Eleginopsidae
Eleotridae
Ellopostomatidae
Elopidae
Embiotocidae
Emmelichthyidae
Engraulidae
Enoplosidae
Ephippidae
Epigonidae
Erethistidae
Ereuniidae
Erythrinidae
Eschmeyeridae
Esocidae
Euclichthyidae
Eurypharyngidae
Evermannellidae
Exocoetidae
Fistulariidae
Fundulidae
Gadidae
Gaidropsaridae
Galaxiidae
Gasteropelecidae
Gasterosteidae
Gempylidae
Gerreidae
Gibberichthyidae
Gigantactinidae
Giganturidae
Girellidae
Glaucosomatidae
Gnathanacanthidae
Gobiesocidae
Gobiidae
Gonorynchidae
Gonostomatidae
Goodeidae
Grammatidae
Grammicolepididae
Gymnarchidae
Gymnotidae
Gyrinocheilidae
Haemulidae
Halosauridae
Hapalogenyidae
Harpagiferidae
Helostomatidae
Hemiodontidae
Hemiramphidae
Hepsetidae
Heptapteridae
Heterenchelyidae
Heteropneustidae
Hexagrammidae
Himantolophidae
Hiodontidae
Hispidoberycidae
Holocentridae
Hoplichthyidae
Horabagridae
Howellidae
Hypopomidae
Hypoptychidae
Icosteidae
Ictaluridae
Iguanodectidae
Indostomidae
Ipnopidae
Isonidae
Istiophoridae
Jordaniidae
Kneriidae
Kraemeriidae
Kuhliidae
Kurtidae
Kyphosidae
Labridae
Labrisomidae
Lacantuniidae
Lactariidae
Lampridae
Lamprididae
Lateolabracidae
Latridae
Lebiasinidae
Leiognathidae
Lepidogalaxiidae
Lepisosteidae
Leptobramidae
Leptochilichthyidae
