chordata_Catostomus_commersonii;chordata_Catostomus_catostomus,0001-PS1,sequence_625_found_1_times
chordata_Catostomus_commersonii;chordata_Catostomus_catostomus,0003-PS1,sequence_1256_found_1_times
chordata_Catostomus_commersonii;chordata_Catostomus_catostomus,0010-PS1,sequence_1052_found_1_times
chordata_Catostomus_commersonii;chordata_Catostomus_catostomus,0014-PS1,sequence_110_found_2_times
arthropoda_Leptophlebia_cupida;arthropoda_Leptophlebia_nebulosa,0002-PS1,sequence_490_found_1_times
arthropoda_Leptophlebia_cupida;arthropoda_Leptophlebia_nebulosa,0004-PS1,sequence_16_found_15_times
arthropoda_Leptophlebia_cupida;arthropoda_Leptophlebia_nebulosa,0004-PS1,sequence_1207_found_1_times
arthropoda_Leptophlebia_cupida;arthropoda_Leptophlebia_nebulosa,0005-PS1,sequence_2_found_60_times
arthropoda_Leptophlebia_cupida;arthropoda_Leptophlebia_nebulosa,0005-PS1,sequence_131_found_2_times
arthropoda_Leptophlebia_cupida;arthropoda_Leptophlebia_nebulosa,0005-PS1,sequence_264_found_1_times
arthropoda_Leptophlebia_cupida;arthropoda_Leptophlebia_nebulosa,0005-PS1,sequence_379_found_1_times
arthropoda_Leptophlebia_cupida;arthropoda_Leptophlebia_nebulosa,0005-PS1,sequence_372_found_1_times
arthropoda_Leptophlebia_cupida;arthropoda_Leptophlebia_nebulosa,0005-PS1,sequence_423_found_1_times
arthropoda_Leptophlebia_cupida;arthropoda_Leptophlebia_nebulosa,0005-PS1,sequence_471_found_1_times
arthropoda_Leptophlebia_cupida;arthropoda_Leptophlebia_nebulosa,0013-PS1,sequence_702_found_1_times
arthropoda_Leptophlebia_cupida;arthropoda_Leptophlebia_nebulosa,0018-PS1,sequence_10_found_5_times
chordata_Anas_poecilorhyncha;chordata_Anas_superciliosa;chordata_Anas_platyrhynchos,0003-PS1,sequence_86_found_3_times
chordata_Anas_poecilorhyncha;chordata_Anas_superciliosa;chordata_Anas_platyrhynchos,0007-PS1,sequence_112_found_2_times
chordata_Alces_americanus;chordata_Alces_alces,0003-PS1,sequence_668_found_1_times
chordata_Alces_americanus;chordata_Alces_alces,0003-PS1,sequence_1076_found_1_times
chordata_Alces_americanus;chordata_Alces_alces,0009-PS1,sequence_666_found_1_times
chordata_Anas_rubripes;chordata_Anas_platyrhynchos,0004-PS1,sequence_215_found_2_times
chordata_Luxilus_chrysocephalus;chordata_Luxilus_cornutus,0005-PS1,sequence_278_found_1_times
chordata_Luxilus_chrysocephalus;chordata_Luxilus_cornutus,0005-PS1,sequence_415_found_1_times
chordata_Chrosomus_eos;chordata_Chrosomus_neogaeus,0005-PS1,sequence_476_found_1_times
chordata_Chrosomus_eos;chordata_Chrosomus_neogaeus,coi-allalberta,sequence_66_found_650_times
chordata_Chrosomus_eos;chordata_Chrosomus_neogaeus,coi-allalberta,sequence_73_found_54_times
chordata_Chrosomus_eos;chordata_Chrosomus_neogaeus,coi-allalberta,sequence_76_found_18_times
chordata_Chrosomus_eos;chordata_Chrosomus_neogaeus,coi-allalberta,sequence_115_found_4_times
chordata_Chrosomus_eos;chordata_Chrosomus_neogaeus,coi-allalberta,sequence_116_found_4_times
chordata_Chrosomus_eos;chordata_Chrosomus_neogaeus,coi-allalberta,sequence_230_found_3_times
chordata_Chrosomus_eos;chordata_Chrosomus_neogaeus,coi-allalberta,sequence_229_found_3_times
chordata_Chrosomus_eos;chordata_Chrosomus_neogaeus,coi-allalberta,sequence_231_found_3_times
chordata_Chrosomus_eos;chordata_Chrosomus_neogaeus,coi-allalberta,sequence_232_found_3_times
chordata_Chrosomus_eos;chordata_Chrosomus_neogaeus,coi-allalberta,sequence_233_found_3_times
chordata_Chrosomus_eos;chordata_Chrosomus_neogaeus,coi-allalberta,sequence_234_found_3_times
chordata_Chrosomus_eos;chordata_Chrosomus_neogaeus,coi-allalberta,sequence_633_found_2_times
chordata_Chrosomus_eos;chordata_Chrosomus_neogaeus,coi-allalberta,sequence_632_found_2_times
chordata_Chrosomus_eos;chordata_Chrosomus_neogaeus,coi-allalberta,sequence_634_found_2_times
chordata_Chrosomus_eos;chordata_Chrosomus_neogaeus,coi-allalberta,sequence_636_found_2_times
chordata_Chrosomus_eos;chordata_Chrosomus_neogaeus,coi-allalberta,sequence_635_found_2_times
chordata_Chrosomus_eos;chordata_Chrosomus_neogaeus,coi-allalberta,sequence_637_found_2_times
chordata_Chrosomus_eos;chordata_Chrosomus_neogaeus,coi-allalberta,sequence_640_found_2_times
chordata_Chrosomus_eos;chordata_Chrosomus_neogaeus,coi-allalberta,sequence_641_found_2_times
chordata_Chrosomus_eos;chordata_Chrosomus_neogaeus,coi-allalberta,sequence_639_found_2_times
chordata_Chrosomus_eos;chordata_Chrosomus_neogaeus,coi-allalberta,sequence_643_found_2_times
chordata_Chrosomus_eos;chordata_Chrosomus_neogaeus,coi-allalberta,sequence_642_found_2_times
chordata_Chrosomus_eos;chordata_Chrosomus_neogaeus,coi-allalberta,sequence_638_found_2_times
chordata_Chrosomus_eos;chordata_Chrosomus_neogaeus,coi-allalberta,sequence_646_found_2_times
chordata_Chrosomus_eos;chordata_Chrosomus_neogaeus,coi-allalberta,sequence_644_found_2_times
chordata_Chrosomus_eos;chordata_Chrosomus_neogaeus,coi-allalberta,sequence_647_found_2_times
chordata_Chrosomus_eos;chordata_Chrosomus_neogaeus,coi-allalberta,sequence_645_found_2_times
chordata_Chrosomus_eos;chordata_Chrosomus_neogaeus,coi-allalberta,sequence_2117_found_1_times
chordata_Chrosomus_eos;chordata_Chrosomus_neogaeus,coi-allalberta,sequence_2116_found_1_times
chordata_Chrosomus_eos;chordata_Chrosomus_neogaeus,coi-allalberta,sequence_2119_found_1_times
chordata_Chrosomus_eos;chordata_Chrosomus_neogaeus,coi-allalberta,sequence_2118_found_1_times
chordata_Chrosomus_eos;chordata_Chrosomus_neogaeus,coi-allalberta,sequence_2121_found_1_times
chordata_Chrosomus_eos;chordata_Chrosomus_neogaeus,coi-allalberta,sequence_2123_found_1_times
chordata_Chrosomus_eos;chordata_Chrosomus_neogaeus,coi-allalberta,sequence_2120_found_1_times
chordata_Chrosomus_eos;chordata_Chrosomus_neogaeus,coi-allalberta,sequence_2124_found_1_times
chordata_Chrosomus_eos;chordata_Chrosomus_neogaeus,coi-allalberta,sequence_2128_found_1_times
